class_id,class_name,reader_triplet,n_images_evaluated,reader_pair,kappa_type,cohen_kappa,interpretation,weighted_kappa_used,note
0,Aortic enlargement,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.645135,SUBSTANTIAL,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
0,Aortic enlargement,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.574862,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
0,Aortic enlargement,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.599152,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
1,Atelectasis,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.3836,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
1,Atelectasis,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.418847,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
1,Atelectasis,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.367577,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
2,Calcification,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.337514,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
2,Calcification,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.314691,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
2,Calcification,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.389666,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
3,Cardiomegaly,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.729342,SUBSTANTIAL,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
3,Cardiomegaly,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.67736,SUBSTANTIAL,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
3,Cardiomegaly,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.679376,SUBSTANTIAL,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
4,Consolidation,"('R10', 'R8', 'R9')",4222,R10_vs_R8,pairwise_cohen_kappa,0.300147,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
4,Consolidation,"('R10', 'R8', 'R9')",4222,R10_vs_R9,pairwise_cohen_kappa,0.266949,FAIR,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
4,Consolidation,"('R10', 'R8', 'R9')",4222,R8_vs_R9,pairwise_cohen_kappa,0.405338,MODERATE,False,"Pairwise Cohen's Kappa (unweighted) within dominant reader triplet. Binary class presence: 1=reader labeled this class, 0=reader did not. Weighted Kappa was NOT used because labels are nominal disease categories or binary presence/absence decisions, not ordinal severity scores. Fleiss' Kappa was NOT used here because different images have different reader triplets; mean pairwise Cohen's Kappa across the dominant triplet is the valid approximation."
