file_path,num_rows,num_columns,column_name,inferred_column_role
data\processed\vinbigdata\phase_1d_kappa\bbox_level_agreement_feasibility.csv,6,3,check,unknown
data\processed\vinbigdata\phase_1d_kappa\bbox_level_agreement_feasibility.csv,6,3,result,unknown
data\processed\vinbigdata\phase_1d_kappa\bbox_level_agreement_feasibility.csv,6,3,detail,unknown
data\processed\vinbigdata\phase_1d_kappa\class_level_kappa.csv,42,8,class_id,class_name
data\processed\vinbigdata\phase_1d_kappa\class_level_kappa.csv,42,8,class_name,class_name
data\processed\vinbigdata\phase_1d_kappa\class_level_kappa.csv,42,8,reader_triplet,reader_candidate
data\processed\vinbigdata\phase_1d_kappa\class_level_kappa.csv,42,8,n_images_evaluated,unknown
data\processed\vinbigdata\phase_1d_kappa\class_level_kappa.csv,42,8,reader_pair,reader_candidate
data\processed\vinbigdata\phase_1d_kappa\class_level_kappa.csv,42,8,cohen_kappa,unknown
data\processed\vinbigdata\phase_1d_kappa\class_level_kappa.csv,42,8,interpretation,unknown
data\processed\vinbigdata\phase_1d_kappa\class_level_kappa.csv,42,8,note,unknown
data\processed\vinbigdata\phase_1d_kappa\image_level_kappa.csv,1,7,level,unknown
data\processed\vinbigdata\phase_1d_kappa\image_level_kappa.csv,1,7,method,unknown
data\processed\vinbigdata\phase_1d_kappa\image_level_kappa.csv,1,7,kappa_value,unknown
data\processed\vinbigdata\phase_1d_kappa\image_level_kappa.csv,1,7,n_images,unknown
data\processed\vinbigdata\phase_1d_kappa\image_level_kappa.csv,1,7,n_unanimous,unknown
data\processed\vinbigdata\phase_1d_kappa\image_level_kappa.csv,1,7,n_disagreement,unknown
data\processed\vinbigdata\phase_1d_kappa\image_level_kappa.csv,1,7,note,unknown
data\processed\vinbigdata\phase_1d_kappa\image_level_pairwise_kappa.csv,3,5,reader_1,reader_candidate
data\processed\vinbigdata\phase_1d_kappa\image_level_pairwise_kappa.csv,3,5,reader_2,reader_candidate
data\processed\vinbigdata\phase_1d_kappa\image_level_pairwise_kappa.csv,3,5,triplet,unknown
data\processed\vinbigdata\phase_1d_kappa\image_level_pairwise_kappa.csv,3,5,n_images,unknown
data\processed\vinbigdata\phase_1d_kappa\image_level_pairwise_kappa.csv,3,5,cohen_kappa,unknown
data\processed\vinbigdata\phase_1d_kappa\kappa_feasibility_summary.csv,4,4,level,unknown
data\processed\vinbigdata\phase_1d_kappa\kappa_feasibility_summary.csv,4,4,feasibility,unknown
data\processed\vinbigdata\phase_1d_kappa\kappa_feasibility_summary.csv,4,4,evidence,unknown
data\processed\vinbigdata\phase_1d_kappa\kappa_feasibility_summary.csv,4,4,action_taken,unknown
data\processed\vinbigdata\phase_1d_kappa\metadata_column_audit.csv,246,5,file_path,unknown
data\processed\vinbigdata\phase_1d_kappa\metadata_column_audit.csv,246,5,num_rows,metadata
data\processed\vinbigdata\phase_1d_kappa\metadata_column_audit.csv,246,5,num_columns,metadata
data\processed\vinbigdata\phase_1d_kappa\metadata_column_audit.csv,246,5,column_name,unknown
data\processed\vinbigdata\phase_1d_kappa\metadata_column_audit.csv,246,5,inferred_column_role,unknown
data\processed\vinbigdata\phase_1d_kappa\reader_column_candidates.csv,8,5,file_path,unknown
data\processed\vinbigdata\phase_1d_kappa\reader_column_candidates.csv,8,5,candidate_column,unknown
