metric,value
total_selected_images,4894
abnormal_images,4394
normal_images,500
input_validation_discrepancies,0
abnormal_images_with_valid_bbox,4394
normal_images_with_valid_bbox,0
ann_ids_not_in_selected,0
normal_ids_in_abnormal_ann,0
dicom_dir,D:\ssl_detection_xray\data\raw\vinbigdata\dicom_subset\train
dicom_found,4894
dicom_missing,0
dicom_extra_not_in_subset,0
dicom_readable,4894
dicom_unreadable,0
valid_image_dims,4894
invalid_or_missing_image_dims,0
pixel_checked,4894
pixel_readable,4894
pixel_unreadable,0
pixel_empty,0
pixel_shape_mismatch,0
pixel_has_nan,0
pixel_has_inf,0
total_bbox_rows_checked,36096
bbox_within_boundary,36096
bbox_outside_boundary,0
bbox_no_dims_available,0
bbox_flag_x_min_negative,0
bbox_flag_y_min_negative,0
bbox_flag_x_max_gt_width,0
bbox_flag_y_max_gt_height,0
bbox_flag_x_order,0
bbox_flag_y_order,0
normal_images_with_abnormal_bbox,0
normal_dicom_found,500
normal_dicom_missing,0
normal_dicom_readable,500
normal_pixel_readable,500
gate_decision,PASS
gate_reason,"All 4,894 DICOM files found, readable, and pixel arrays valid. All 4,894 image dimensions extracted. No bbox boundary violations. No extra/missing DICOMs. All Phase 1A metadata consistency checks passed."
