class_id,class_name,num_bbox,num_images,bbox_percentage,image_percentage,mean_bbox_per_image_for_class
0,Aortic enlargement,7162,3067,19.84,69.8,2.3352
3,Cardiomegaly,5427,2300,15.03,52.34,2.3596
11,Pleural thickening,4842,1981,13.41,45.08,2.4442
13,Pulmonary fibrosis,4655,1617,12.9,36.8,2.8788
8,Nodule/Mass,2580,826,7.15,18.8,3.1235
7,Lung Opacity,2483,1322,6.88,30.09,1.8782
10,Pleural effusion,2476,1032,6.86,23.49,2.3992
9,Other lesion,2203,1134,6.1,25.81,1.9427
6,Infiltration,1247,613,3.45,13.95,2.0343
5,ILD,1000,386,2.77,8.78,2.5907
2,Calcification,960,452,2.66,10.29,2.1239
4,Consolidation,556,353,1.54,8.03,1.5751
1,Atelectasis,279,186,0.77,4.23,1.5
12,Pneumothorax,226,96,0.63,2.18,2.3542
