class_id,class_name,num_bbox,invalid_bbox_count,invalid_bbox_percentage,mean_bbox_width,median_bbox_width,mean_bbox_height,median_bbox_height,mean_bbox_area,median_bbox_area,mean_aspect_ratio,median_aspect_ratio,very_small_bbox_count,very_large_bbox_count,duplicate_candidate_count
0,Aortic enlargement,7162,0,0.0,308.3266,293.0,342.0845,329.0,111786.3658,96440.0,0.9192,0.8991,0,10,7
3,Cardiomegaly,5427,0,0.0,1070.8603,1061.0,394.4301,377.0,430588.2746,396256.0,2.8789,2.8006,0,301,47
11,Pleural thickening,4842,0,0.0,261.758,232.0,198.0853,152.0,61236.1223,31626.5,1.9173,1.4805,130,23,2
13,Pulmonary fibrosis,4655,0,0.0,327.2309,299.0,351.6361,273.0,150699.7315,75744.0,1.2945,0.9943,193,99,3
8,Nodule/Mass,2580,0,0.0,170.8097,102.0,200.0516,100.0,73546.3512,9972.5,0.9927,0.9845,999,37,1
7,Lung Opacity,2483,0,0.0,408.2404,390.0,491.4776,404.0,251134.0652,151872.0,1.019,0.8901,49,152,2
10,Pleural effusion,2476,0,0.0,366.9996,217.0,488.8061,287.0,290881.3938,62673.0,0.8776,0.7205,32,318,3
9,Other lesion,2203,0,0.0,367.3627,296.0,535.6718,364.0,259795.8012,119028.0,1.021,0.8051,220,193,0
6,Infiltration,1247,0,0.0,471.5245,469.0,621.9463,529.0,343015.9423,244720.0,0.8972,0.8317,1,141,1
5,ILD,1000,0,0.0,573.511,561.5,1036.595,1026.5,653507.925,551686.0,0.6373,0.5462,2,349,3
2,Calcification,960,0,0.0,213.1052,157.0,275.5729,178.0,92550.651,27255.5,0.9361,0.8509,179,9,2
4,Consolidation,556,0,0.0,480.6781,470.0,584.8219,521.0,325284.2302,236006.0,0.9481,0.8924,0,44,0
1,Atelectasis,279,0,0.0,534.9677,529.0,635.9964,556.0,392763.0502,272586.0,1.0942,0.8971,0,39,0
12,Pneumothorax,226,0,0.0,666.4867,704.5,1040.6416,810.5,805752.0973,531347.5,0.9336,0.7359,0,89,7
